Customer,State,Customer Lifetime Value,Response,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Day,Month,Year
385,4,0.05333728075271188,0,0,0,1,0,0.5628469409187746,1,1,0.07339449541284404,0.9142857142857143,0.05050505050505051,0,0,0,2,0,0,0.40084581737543856,3,1,1,1,1970
62,2,0.7557580027584412,0,2,0,1,0,0.4877626749082326,1,1,0.4311926605504588,0.5142857142857142,0.38383838383838387,0,1,1,5,0,0,0.5901252409850529,3,1,1,1,1970
5193,1,0.39208562743626807,0,0,0,4,1,0.0,1,1,0.4128440366972478,0.5142857142857142,0.6565656565656566,0,6,0,1,0,2,0.5519998248712272,1,1,1,1,1970
1602,4,0.05681842139382215,0,0,0,1,1,0.4384433042278033,0,2,0.11009174311926606,0.34285714285714286,0.4444444444444445,0,0,1,3,0,0,0.14382051618049252,0,1,1,1,1970
3179,3,0.4344391031657875,1,0,0,1,0,0.6291395365119373,0,1,0.07339449541284404,0.39999999999999997,0.9494949494949496,0,1,1,5,1,3,0.16596393138109172,3,1,1,1,1970
481,0,0.3622677681644203,0,2,4,4,1,0.0,2,2,0.3669724770642202,0.0,0.686868686868687,0,3,0,2,0,0,0.37815090074699226,0,1,1,1,1970
343,3,0.3742069266463185,0,1,1,1,0,0.2881747532031086,2,1,0.29357798165137616,0.4857142857142857,0.07070707070707072,0,7,2,7,1,1,0.44327004053963315,0,1,1,1,1970
4266,1,0.1904002006586095,0,0,1,4,1,0.0,1,2,0.05504587155963314,0.6571428571428571,0.05050505050505051,0,2,1,5,0,0,0.5025272552097542,0,2,1,1,1970
4908,1,0.4303385568258946,0,0,1,4,0,0.0,1,1,0.4495412844036699,0.7714285714285714,0.8787878787878789,0,2,1,5,1,0,0.5500395829265764,1,1,1,1,1970
1318,2,0.03969314273126101,0,0,3,2,1,0.25053760214440746,1,1,0.05504587155963314,0.39999999999999997,0.07070707070707072,0,0,1,5,1,2,0.4731916207654775,3,1,1,1,1970
3190,1,0.1353279399285576,0,0,1,2,1,0.28860483491863453,1,1,0.3669724770642202,0.34285714285714286,0.595959595959596,0,0,1,4,2,2,0.6744906557343581,1,1,1,1,1970
5012,3,0.25779411783763584,0,0,1,1,1,0.5115771996679369,2,1,0.10091743119266061,0.2571428571428571,0.010101010101010102,0,6,1,4,1,1,0.3218362724874298,0,1,1,1,1970
1212,1,0.42793931380231276,0,2,3,1,0,0.6615256898810774,1,1,0.3669724770642202,0.3142857142857143,0.21212121212121213,0,2,0,1,0,2,0.5050279040369553,0,2,1,1,1970
5764,3,0.06086748437286346,0,0,3,1,1,0.5775997439513508,1,2,0.11926605504587162,0.8857142857142857,0.21212121212121213,0,0,1,4,0,1,0.3699928673680921,3,1,1,1,1970
4249,4,0.07264446260826904,0,1,0,0,0,0.13791620407877497,1,0,0.1651376146788992,0.22857142857142856,0.494949494949495,0,0,1,5,3,2,0.3949993556401038,0,1,1,1,1970
1705,1,0.027567889783876254,0,0,0,0,0,0.17873395945229595,1,1,0.0,0.8571428571428571,0.9191919191919192,0,0,0,1,1,1,0.45751557632013307,0,1,1,1,1970
1289,3,0.26415875845272907,0,0,1,1,1,0.9755953631189926,1,1,0.10091743119266061,0.6285714285714286,0.010101010101010102,0,2,1,5,1,2,0.40540310294989407,0,0,1,1,1970
4707,1,0.135406375344742,0,2,0,4,0,0.0,1,2,0.45871559633027537,0.42857142857142855,0.4747474747474748,0,0,1,5,0,0,0.8326129004003087,0,2,1,1,1970
1718,4,0.23257942826323472,0,1,4,0,0,0.10512997469519209,2,1,0.7155963302752295,0.9428571428571428,0.6464646464646465,0,0,0,0,0,1,0.5377842687443544,1,1,1,1,1970
3412,1,0.18875787364887034,0,0,0,4,1,0.0,2,1,0.03669724770642202,0.5428571428571428,0.5656565656565657,0,2,1,5,0,2,0.3209706583087759,0,1,1,1,1970
99,4,0.20981984635983972,0,0,0,1,1,0.5451035696782389,1,1,0.01834862385321112,0.7999999999999999,0.17171717171717174,0,5,0,1,0,0,0.31497859316966637,3,2,1,1,1970
4146,3,0.2038551238132512,0,0,0,1,0,0.3726708074534162,0,1,0.00917431192660556,0.5428571428571428,0.42424242424242425,0,7,0,0,2,3,0.015981932145383782,0,1,1,1,1970
5644,0,0.2601459453175302,0,0,3,1,0,0.6900011002090397,2,1,0.09174311926605516,0.3142857142857143,0.4040404040404041,0,5,1,3,0,1,0.21294706449954257,0,1,1,1,1970
2469,1,0.8254389649191177,0,2,0,1,1,0.4231303947750073,1,1,0.5137614678899083,0.2857142857142857,0.6262626262626263,0,1,1,5,0,0,0.5850486665073927,0,2,1,1,1970
763,3,0.37370727888914523,0,1,4,1,0,0.6571848651243737,1,1,0.27522935779816526,0.5428571428571428,0.8686868686868687,0,7,1,5,1,3,0.45501492749293193,0,2,1,1,1970
535,3,0.07599164308985051,0,1,0,4,1,0.0,1,2,0.2660550458715597,0.19999999999999998,0.797979797979798,0,0,1,4,2,0,0.6750720242866349,3,2,1,1,1970
2732,3,0.05385943503059942,1,0,1,1,0,0.500805152979066,0,2,0.09174311926605516,0.08571428571428572,0.32323232323232326,0,0,0,2,1,0,0.019609179533837694,3,1,1,1,1970
1921,1,0.13489532480827063,1,1,0,1,0,0.6003240615716987,1,1,0.3486238532110093,0.34285714285714286,0.2828282828282829,0,0,1,4,1,0,0.9197937967060964,0,2,1,1,1970
4212,0,0.7102742736223903,0,0,3,1,1,0.4325221792140507,1,1,0.3853211009174313,0.42857142857142855,0.16161616161616163,0,1,1,4,3,0,0.51503049934576,2,1,1,1,1970
720,4,0.031145054194772037,0,0,1,1,1,0.9285164181194427,1,1,0.0,0.42857142857142855,0.5656565656565657,0,0,2,7,1,2,0.3049759978608617,0,0,1,1,1970
5342,3,0.24419593583298524,0,0,3,1,0,0.23222412258329084,1,2,0.09174311926605516,0.19999999999999998,0.10101010101010102,0,3,1,4,3,0,0.46646939951080957,3,1,1,1,1970
2388,1,0.09360374085383427,0,1,0,4,0,0.0,1,1,0.2844036697247707,0.3142857142857143,0.7777777777777778,0,0,0,1,1,2,0.5517317761556915,0,1,1,1,1970
4111,0,0.020794163958713197,0,0,3,4,0,0.0,1,1,0.00917431192660556,0.3142857142857143,0.5656565656565657,0,0,1,4,3,1,0.3260472723800425,0,1,1,1,1970
5398,4,0.19843145924853764,0,0,0,1,1,0.2983966953721207,1,2,0.02752293577981657,0.5428571428571428,0.4444444444444445,0,2,1,5,3,0,0.3199798908240687,0,1,1,1,1970
1279,1,0.15952542723945642,0,2,0,0,1,0.16704173793020674,1,1,0.47706422018348627,0.5714285714285714,0.26262626262626265,0,0,1,4,0,1,0.8663987280491419,0,2,1,1,1970
4274,0,0.3586803704135535,0,1,1,1,0,0.4663186005341015,1,0,0.27522935779816526,0.02857142857142857,0.5353535353535354,0,2,0,2,2,2,0.45501492749293193,0,2,1,1,1970
110,1,0.3902576784547723,0,0,1,1,1,0.647613046478831,2,1,0.02752293577981657,0.6857142857142857,0.595959595959596,0,1,2,7,1,1,0.3151507107445686,0,1,1,1,1970
